TITLE	SERIAL	EXISTING_GROUPS	MEASUREMENT
007 - Agent Under Fire	SLUS-20265	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Aggressive Inline	SLUS-20327	Widescreen 16:9	512x448 (Before) -> 1024x447 (After)
Alter Echo	SLUS-20465	Widescreen 16:9	640x4480 (Before) -> 1280x896 (After)
Aqua Aqua	SLUS-20162	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
BMX XXX	SLUS-20415	Widescreen 16:9	512x448 (Before) -> 1024x447 (After)
Beat Down - Fists of Vengeance	SLUS-21150	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Big Mutha Truckers	SLUS-20291	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Big Mutha Truckers	SLUS-20605	no pnach at all	640x448 (Before) -> 1280x447 (After)
Blood Omen 2 - The Legacy of Kain Series	SLUS-20024	Remove Blackbars; Widescreen 16:9	512x448 (Before) -> 1024x448 (After)
Britney's Dance Beat	SLUS-20402	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Crouching Tiger, Hidden Dragon	SLUS-20523	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Def Jam - Vendetta	SLUS-20639	Widescreen 16:9	512x448 (Before) -> 1024x447 (After)
Devil Kings	SLUS-21297	Widescreen 16:9	NTSC:  512x448 (Before) -> 1024x447 (After)
Dino Stalker	SLUS-20485	Widescreen 16:9	512x448 (Before) -> 1024x447 (After)
Drakengard 2	SLUS-21373	Remove Blackbars; Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Dropship - United Peace Force	SLUS-20463	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Dynasty Warriors 3	SLUS-20277	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Dynasty Warriors 4	SLUS-20653	Fix vertical lines when upscaling; Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
ESPN X Games Skateboarding	SLUS-20237	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Fallout - Brotherhood of Steel	SLUS-20539	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Final Fight - Streetwise	SLUS-21238	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Formula One 2001	SCUS-97150	Widescreen 16:9	512x448 (Before) -> 1024x448 (After)
Haven - Call of the King	SLUS-20517	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Heavenly Guardian	SLUS-21653	no pnach at all	640x448 (Before) -> 1280x447 (After)
Hot Shots Tennis	SCUS-97619	no pnach at all	640x448 (Before) -> 1280x447 (After)
Jade Cocoon 2	SLUS-20309	Widescreen 16:9	640x448 (Before + PCRTC Antiblur off) -> 1280x447 (After)
Jak and Daxter - The Precursor Legacy [Cingular Wireless Demo]	SCUS-97170	no pnach at all	512x448 (Before) ->  1024x447 (After)
Justice League Heroes	SLUS-21304	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Lara Croft Tomb Raider - The Angel of Darkness	SLUS-20467	Widescreen 15:10; Widescreen 16:10; Widescreen 16:9	NTSC: 512x448 (Before) -> 1024x447 (After)
Legaia 2 - Duel Saga	SLUS-20414	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Legend of the Dragon	SLUS-21612	no pnach at all	512x448 (Before) -> 1024x447 (After)
Lethal Skies II	SLUS-20735	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Mega Man X7	SLUS-20487	Widescreen 16:9	512x448 (Before) -> 1024x447 (After)
Metropolismania 2	SLUS-21606	no pnach at all	640x448 (Before) -> 1280x447 (After)
Monster Rancher 3	SLUS-20190	Widescreen 16:9	512x448 (Before) -> 1024x447 (After)
Monster Rancher 4	SLUS-20702	Widescreen 16:9	512x448 (Before) -> 1024x447 (After)
Mortal Kombat - Shaolin Monks	SLUS-21087	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Ninja Assault	SLUS-20492	no pnach at all	640x448 (Before + PCRTC Antiblur off) -> 1280x448 (After)
Onimusha - Blade Warriors	SLUS-20710	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
RC Revenge Pro	SLUS-20153	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Radiata Stories	SLUS-21262	no pnach at all	640x448 (Before) -> 1280x447 (After)
Raiden III	SLUS-21465	no pnach at all	640x448 (Before) -> 1280x447 (After)
Ready 2 Rumble Boxing - Round 2	SLUS-20054	Widescreen 16:9	512x448 (Before) -> 1024x447 (After)
Rocky	SLUS-20559	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Rocky - Legends	SLUS-20890	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Shadow of Destiny	SLUS-20146	Widescreen 16:9	512x448 (Before) -> 1024x448 (After)
Tekken 4	SLUS-20328	Widescreen 16:9	Interlaced   NTSC: 640x448 (Before) -> 1280x447 (After)
Vampire Night	SLUS-20221	No GunCon Flash; Remove Blackbars; Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Wild ARMs 3	SCUS-97203	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
Wreckless - The Yakuza Missions	SLUS-20431	Widescreen 16:9	640x448 (Before) -> 1280x447 (After)
